Id,DataSetId,DataRecordId,ChargeTypeId,Cost,Checksum,Units,Rate
14710,163,44295,4,21.15,-2138117347,31,68.21918
14711,163,44295,5,14.02,-1423629767,1,1402
14712,163,44295,87,25.48,-1348272504,1,2548
14713,163,44295,187,-2.5,-341744886,834.1,-0.3
14714,2935,44296,5,11.59,-1769262138,0,0
14715,2935,44296,187,-14.42,1090843546,4808,-0.3
14716,726,44297,4,21.15,139735874,31,68.21918
14717,726,44297,5,14.02,-454988373,1,1402
14718,726,44297,87,25.48,-1874144207,1,2548
14719,726,44297,187,-7.25,-1693028991,2415.3,-0.3
14720,50,44298,44,25.27,140206218,0,0
14721,50,44298,187,-1.33,-799246509,444,-0.3
14722,62,44299,5,11.85,-675847195,0,0
14723,62,44299,187,-6.76,-2065834589,2252,-0.3
14724,341,44300,5,7.25,-904422450,0,0
14725,341,44300,187,-822.38,1273719412,2496.8,-32.9373598205703
14726,341,44301,5,7.6,-1865582258,0,0
14727,341,44301,187,-3.28,835906720,1094.4,-0.3
14728,341,44302,4,4.12,1190337856,0,0
14729,2953,44303,4,21.15,1744887918,31,68.21918
14730,2953,44303,5,14.02,-819684520,1,1402
14731,2953,44303,87,25.48,226619565,1,2548
14732,2953,44303,187,-5.44,-1325483014,1814.9,-0.3
14733,210,44304,5,9.01,-787586885,0,0
14734,210,44304,187,-4.37,1952731970,1457,-0.3
14735,152,44305,5,8.89,520778247,0,0
14736,152,44305,187,-4.46,431358230,1486,-0.3
14737,52,44306,5,12.23,-1572489515,0,0
14738,52,44306,187,-3.94,1151342799,1313,-0.3
14739,219,44307,4,21.15,482489975,31,68.21918
14740,219,44307,5,14.02,-1340628917,1,1402
14741,219,44307,87,25.48,-1976091796,1,2548
14742,219,44307,184,10.73,1848548963,0,0
14743,219,44307,187,-4.82,1832499128,1605.8,-0.3
14744,162,44308,44,-11.55,758035529,0,0
14745,162,44308,187,1.39,1369740789,-463,-0.3
14746,162,44309,44,11.55,1743555142,0,0
14747,162,44309,187,-1.39,-1086668306,464.5,-0.3
14748,162,44310,44,11.55,-959778737,0,0
14749,162,44310,187,-1.84,1254838784,614,-0.3
14750,162,44311,44,-11.55,1720027970,0,0
14751,162,44311,187,1.84,-380140052,-614,-0.3
14752,162,44312,44,11.55,-25549313,0,0
14753,162,44312,187,-1.4,-1801438910,465,-0.3
14754,40,44313,5,12.75,-605620379,0,0
14755,40,44313,187,-8.27,-1745645477,2755,-0.300181488203267
14756,139,44314,5,3.86,-722495474,0,0
14757,139,44314,187,-6.52,694014031,2172,-0.3
14758,137,44318,5,6.57,-601093162,0,0
14759,137,44318,208,-7.32,2082110679,2457,-0.298
14760,209,44319,5,10.69,934615685,0,0
14761,209,44319,208,-9.56,-1821278956,3186,-0.3
14762,155,44320,5,7.08,-163043203,0,0
14763,155,44320,208,-10.51,1793795508,3504,-0.3
14764,124,44321,5,5.54,962172699,0,0
14765,124,44321,208,-4.8,1184057874,1612,-0.298
14766,185,44322,5,7.08,-1025287304,0,0
14767,185,44322,208,-11.94,-1639032679,3981,-0.3
14768,183,44323,208,-12.92,215679915,4307,-0.3
14769,169,44324,44,1.63,1935052792,0,0
14770,169,44324,208,-0.12,-1165431149,39,-0.3
14771,45,44325,5,7.08,675109887,0,0
14772,45,44325,208,-2.58,-1748480250,861,-0.3
14773,135,44326,4,10.69,-708481951,0,0
14774,135,44326,208,-13.39,-714065983,4464,-0.3
14775,150,44327,5,7.21,499680682,0,0
14776,150,44327,208,-8.66,1613869872,2888,-0.3
14777,83,44328,5,7.08,2102334888,0,0
14778,83,44328,208,-5.4,1594966264,1801,-0.3
14779,368,44329,44,-27.82,-1113519247,0,0
14780,368,44329,208,3.18,10363548,-1059,-0.3
14781,368,44330,44,27.82,166346925,0,0
14782,368,44330,208,-1.95,1161504592,648.4,-0.3
14783,207,44331,4,-16.03,1835108380,0,0
14784,207,44331,187,2052.2,-1610181113,-5909,-34.73
14785,207,44332,4,16.03,1832875206,0,0
14786,207,44332,187,-2575.09,-1995105758,7414.6,-34.73
14787,207,44333,4,-12.99,658432812,0,0
14788,207,44333,187,1082.88,2046355718,-3118,-34.73
14789,207,44333,208,6.55,442466800,-2183,-0.3
14790,207,44334,4,12.99,1745747186,0,0
14791,207,44334,187,-559.99,-530336108,1612.4,-34.73
14792,207,44334,208,-6.55,-1088439264,2183,-0.3
14793,207,44335,4,10.82,-970778000,0,0
14794,207,44335,208,-11.82,654307620,3941,-0.3
