Id,Contract_Id,Type,Cost_Rate,Time_Start,Time_Finish,Meter,Description,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,January,February,March,April,May,June,July,August,September,October,November,December,Checksum,Valid_From
5216,3888,NULL,43.083,00:00,07:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2022-10-01 00:00:00.000
5217,3889,NULL,60.8,07:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2022-10-01 00:00:00.000
5218,3889,NULL,57.4,00:00,07:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2022-10-01 00:00:00.000
5219,3890,NULL,61.58,07:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2022-11-01 00:00:00.000
5220,3890,NULL,49.94,00:00,07:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2022-12-01 00:00:00.000
6391,5008,NULL,16.8298,00:00,07:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2024-08-01 00:00:00.000
6392,5009,NULL,22.4911,07:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2024-08-01 00:00:00.000
6393,5009,NULL,16.7792,00:00,07:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2024-08-01 00:00:00.000
6394,5010,NULL,22.4282,07:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2024-08-01 00:00:00.000
6395,5010,NULL,16.7471,00:00,07:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2024-08-01 00:00:00.000
6396,5011,NULL,23.7441,07:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2024-08-01 00:00:00.000
6397,5011,NULL,16.7901,00:00,07:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2024-08-01 00:00:00.000
6398,5012,NULL,23.1064,07:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2024-08-01 00:00:00.000
6399,5012,NULL,16.8052,00:00,07:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2024-08-01 00:00:00.000
6400,5013,NULL,23.0283,07:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2024-08-01 00:00:00.000
6401,5013,NULL,16.7623,00:00,07:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2024-08-01 00:00:00.000
6402,5014,NULL,22.7367,07:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2024-08-01 00:00:00.000
6403,5014,NULL,16.8712,00:00,07:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2024-08-01 00:00:00.000
6404,5015,NULL,20.9161,07:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2024-08-01 00:00:00.000
6405,5015,NULL,16.7903,00:00,07:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2024-08-01 00:00:00.000
6406,5016,NULL,21.2534,00:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2024-08-01 00:00:00.000
6407,5017,NULL,22.2924,07:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2024-08-01 00:00:00.000
6408,5017,NULL,17.0481,00:00,07:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2024-08-01 00:00:00.000
6409,5018,NULL,23.5535,07:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2024-07-01 00:00:00.000
6410,5018,NULL,18.7549,00:00,07:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2024-07-01 00:00:00.000
6411,5019,NULL,3.221,07:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2024-01-01 00:00:00.000
6412,5019,NULL,3.195,00:00,07:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2024-01-01 00:00:00.000
6413,5020,NULL,3.222,00:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2024-01-01 00:00:00.000
6414,5020,NULL,3.209,00:00,24:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2024-01-01 00:00:00.000
6415,5021,NULL,3.221,00:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2024-01-01 00:00:00.000
6416,5021,NULL,3.212,00:00,24:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2024-01-01 00:00:00.000
6417,5022,NULL,3.219,00:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2024-01-01 00:00:00.000
6418,5022,NULL,3.218,00:00,24:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2024-01-01 00:00:00.000
6419,5023,NULL,3.176,00:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2024-01-01 00:00:00.000
6420,5023,NULL,3.173,00:00,24:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2024-01-01 00:00:00.000
6421,5024,NULL,3.356,00:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2024-02-01 00:00:00.000
6422,5025,NULL,3.356,00:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2024-02-01 00:00:00.000
6423,5026,NULL,21.5202,07:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2024-08-01 00:00:00.000
6424,5026,NULL,16.9565,00:00,07:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2024-09-01 00:00:00.000
6425,5027,NULL,23.65,00:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2024-03-18 00:00:00.000
6426,5028,NULL,6.65,00:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2024-03-20 00:00:00.000
6427,5029,NULL,22.63,00:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2024-11-01 00:00:00.000
6428,5029,NULL,17.49,00:00,24:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2024-11-01 00:00:00.000
6429,5030,NULL,22.4911,00:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2024-08-01 00:00:00.000
6430,5030,NULL,16.7792,00:00,24:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2024-08-01 00:00:00.000
6431,5031,NULL,24.6,00:00,24:00,1,All Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2024-02-01 00:00:00.000
6432,5032,NULL,5.46,00:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2024-08-01 00:00:00.000
6433,5033,NULL,6.68,00:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2024-11-01 00:00:00.000
4591,3448,NULL,16.472,07:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2021-07-01 00:00:00.000
4592,3448,NULL,13.257,00:00,07:00,1,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2021-07-01 00:00:00.000
4593,3449,NULL,19.506,00:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2021-07-20 00:00:00.000
4594,3450,NULL,19.54,00:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2021-07-21 00:00:00.000
4595,3451,NULL,0,00:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2020-10-01 00:00:00.000
4596,3451,NULL,8.79,00:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2021-08-01 00:00:00.000
4597,3452,NULL,8.79,00:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2021-08-01 00:00:00.000
4598,3453,NULL,5.712,00:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2021-08-01 00:00:00.000
4599,3454,NULL,3.972,00:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2021-08-01 00:00:00.000
4600,3455,NULL,22.29,07:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2020-12-01 00:00:00.000
4601,3455,NULL,17.64,00:00,07:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2020-12-01 00:00:00.000
4602,3456,NULL,3.065,00:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2021-07-28 00:00:00.000
4603,3457,NULL,3.065,00:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2021-07-28 00:00:00.000
4604,3458,NULL,3.7856,00:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2019-07-11 00:00:00.000
4605,3459,NULL,4.1121,00:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2019-07-11 00:00:00.000
4606,3460,NULL,17.924,07:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2021-06-01 00:00:00.000
